#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.knownGene.alignID	mm10.kgXref.kgID	mm10.kgXref.mRNA	mm10.kgXref.spID	mm10.kgXref.spDisplayID	mm10.kgXref.geneSymbol	mm10.kgXref.refseq	mm10.kgXref.protAcc	mm10.kgXref.description	mm10.kgXref.tRnaName
ENSMUST00000128014.1	chr14	+	31641027	31667171	uc288sdu.1	ENSMUST00000128014.1	AK005506			Btd			Btd (from geneSymbol)	
ENSMUST00000090147.6	chr14	+	31641056	31668579	uc007sxy.3	ENSMUST00000090147.6	NM_025295	A0A0R4J131		Btd	NM_025295	NM_025295	Mus musculus biotinidase (Btd), mRNA. (from RefSeq NM_025295)	
ENSMUST00000132153.1	chr14	-	33018283	33023337	uc288shk.1	ENSMUST00000132153.1	AK155186	F6X8K3	F6X8K3_MOUSE	Wdfy4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6X8K3)	
ENSMUST00000061753.14	chr14	-	32959546	33185066	uc007szk.2	ENSMUST00000061753.14	NM_001146022	E9PV60	E9PV60_MOUSE	Wdfy4	NM_001146022	NM_001146022	Mus musculus WD repeat and FYVE domain containing 4 (Wdfy4), mRNA. (from RefSeq NM_001146022)	
ENSMUST00000130509.9	chr14	-	32959546	33185066	uc288shf.1	ENSMUST00000130509.9	AK155186	E9Q2M9	E9Q2M9_MOUSE	Wdfy4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q2M9)	
ENSMUST00000159606.1	chr14	-	33162748	33185508	uc288shl.1	ENSMUST00000159606.1		E0CXD5	E0CXD5_MOUSE	Wdfy4			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CXD5)	
ENSMUST00000052126.5	chr14	-	34351880	34355433	uc007tat.2	ENSMUST00000052126.5	NM_183278	Q8CF02	FM25C_MOUSE	Fam25c	NM_183278	NM_183278	Mus musculus family with sequence similarity 25, member C (Fam25c), mRNA. (from RefSeq NM_183278)	
ENSMUST00000022337.10	chr14	-	37077856	37098347	uc007tbu.2	ENSMUST00000022337.10	NM_130878	Q8VHP6	CDHR1_MOUSE	Cdhr1	NM_130878	NM_130878	Mus musculus cadherin-related family member 1 (Cdhr1), mRNA. (from RefSeq NM_130878)	
ENSMUST00000160298.1	chr14	+	43925389	43933411	uc288stl.1	ENSMUST00000160298.1		E0CXS8	E0CXS8_MOUSE	Gm8113			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CXS8)	
ENSMUST00000141767.1	chr14	+	46883505	46884646	uc288tcs.1	ENSMUST00000141767.1	BC145827			Samd4			Samd4 (from geneSymbol)	
ENSMUST00000226684.1	chr14	+	47001364	47001747	uc288tcw.1	ENSMUST00000226684.1	AK018954			Samd4			Samd4 (from geneSymbol)	
ENSMUST00000140571.1	chr14	+	47001339	47003357	uc288tcv.1	ENSMUST00000140571.1	AK006299			Samd4			Samd4 (from geneSymbol)	
ENSMUST00000130046.1	chr14	+	47087134	47089101	uc288tcy.1	ENSMUST00000130046.1	BC049740			Samd4			Samd4 (from geneSymbol)	
ENSMUST00000227848.1	chr14	+	47077561	47101530	uc288tcx.1	ENSMUST00000227848.1	BC049740	A0A2I3BRV2		Samd4			Samd4 (from geneSymbol)	
ENSMUST00000125113.8	chr14	+	47001314	47101634	uc007thq.3	ENSMUST00000125113.8	NM_001163433	Q8CBY1	SMAG1_MOUSE	Samd4	NM_001163433	NM_001163433	Mus musculus sterile alpha motif domain containing 4 (Samd4), transcript variant 3, mRNA. (from RefSeq NM_001163433)	
ENSMUST00000125688.1	chr14	+	47068973	47102154	uc007thr.3	ENSMUST00000125688.1	NM_001310544	Q8CBY1	SMAG1_MOUSE	Samd4	NM_001310544	NM_001310544	Mus musculus sterile alpha motif domain containing 4 (Samd4), transcript variant 4, mRNA. (from RefSeq NM_001310544)	
ENSMUST00000228404.1	chr14	+	46882979	47102223	uc288tcr.1	ENSMUST00000228404.1	AK133470	A0A2I3BPM7		Samd4			Samd4 (from geneSymbol)	
ENSMUST00000022386.14	chr14	+	46882853	47103150	uc007thn.3	ENSMUST00000022386.14	NM_001037221	Q8CBY1	SMAG1_MOUSE	Samd4	NM_001037221	NM_001037221	Mus musculus sterile alpha motif domain containing 4 (Samd4), transcript variant 1, mRNA. (from RefSeq NM_001037221)	
ENSMUST00000100672.10	chr14	+	46882988	47103150	uc007tho.3	ENSMUST00000100672.10	NM_028966	Q8CBY1	SMAG1_MOUSE	Samd4	NM_028966	NM_028966	Mus musculus sterile alpha motif domain containing 4 (Samd4), transcript variant 2, mRNA. (from RefSeq NM_028966)	
ENSMUST00000137543.8	chr14	+	46884174	47105815	uc007thp.2	ENSMUST00000137543.8	AK133470	Q8CBY1	SMAG1_MOUSE	Samd4			Acts as a translational repressor of SRE-containing  messengers (By similarity). (from UniProt Q8CBY1)	
ENSMUST00000162850.1	chr14	-	50915787	50917374	uc288tnj.1	ENSMUST00000162850.1	AK049480			Osgep			Osgep (from geneSymbol)	
ENSMUST00000160375.7	chr14	-	50916693	50924626	uc288tnk.1	ENSMUST00000160375.7	AK145181	E0CYK9	E0CYK9_MOUSE	Osgep			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CYK9)	
ENSMUST00000162177.7	chr14	-	50915685	50924688	uc029sja.2	ENSMUST00000162177.7	AK145181	E0CYN9	E0CYN9_MOUSE	Osgep			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CYN9)	
ENSMUST00000006452.12	chr14	-	50915681	50924830	uc288tnh.1	ENSMUST00000006452.12	AK049480	E9QMF4	E9QMF4_MOUSE	Osgep			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9QMF4)	
ENSMUST00000160393.7	chr14	-	50906477	50924834	uc288tng.1	ENSMUST00000160393.7	AK049955	A0A0R4J1Y3		Osgep			Osgep (from geneSymbol)	
ENSMUST00000160464.1	chr14	-	50917093	50924843	uc288tnl.1	ENSMUST00000160464.1	AK049480			Osgep			Osgep (from geneSymbol)	
ENSMUST00000160890.7	chr14	-	50915685	50924872	uc288tni.1	ENSMUST00000160890.7	AK049480	E0CXW7	E0CXW7_MOUSE	Osgep			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CXW7)	
ENSMUST00000159292.7	chr14	-	50913593	50924893	uc007tlx.2	ENSMUST00000159292.7	NM_133676	A0A0R4J1Y3		Osgep	NM_133676	NM_133676	Mus musculus O-sialoglycoprotein endopeptidase (Osgep), mRNA. (from RefSeq NM_133676)	
ENSMUST00000053821.4	chr14	+	51800045	51826359	uc007tne.1	ENSMUST00000053821.4	NM_194347	Q6UY53	Q6UY53_MOUSE	AY358078	NM_194347	NM_194347	Mus musculus cDNA sequence AY358078 (AY358078), mRNA. (from RefSeq NM_194347)	
ENSMUST00000227124.1	chr14	-	54632552	54637541	uc288ugw.1	ENSMUST00000227124.1	BC057373	A0A2I3BQY3		Cdh24			Cdh24 (from geneSymbol)	
ENSMUST00000067784.7	chr14	-	54631230	54641364	uc011zlc.2	ENSMUST00000067784.7	NM_199470	Q6PFX6	CAD24_MOUSE	Cdh24	NM_199470	NM_199470	Mus musculus cadherin-like 24 (Cdh24), mRNA. (from RefSeq NM_199470)	
ENSMUST00000132992.1	chr14	-	55109641	55110558	uc288ukr.1	ENSMUST00000132992.1	AK033956			Jph4			Jph4 (from geneSymbol)	
ENSMUST00000124493.1	chr14	-	55107276	55115552	uc007tyg.2	ENSMUST00000124493.1	AK148135	Q80WT0	JPH4_MOUSE	Jph4			Junctophilins contribute to the formation of junctional  membrane complexes (JMCs) which link the plasma membrane with the  endoplasmic or sarcoplasmic reticulum in excitable cells. Provides  a structural foundation for functional cross-talk between the cell  surface and intracellular calcium release channels. JPH4 is brain-  specific and appears to have an active role in certain neurons  involved in motor coordination and memory. (from UniProt Q80WT0)	
ENSMUST00000133954.2	chr14	-	55111301	55116580	uc288uks.1	ENSMUST00000133954.2	AK036161			Jph4			Jph4 (from geneSymbol)	
ENSMUST00000022819.12	chr14	-	55106825	55116935	uc007tyh.2	ENSMUST00000022819.12	NM_177049	Q80WT0	JPH4_MOUSE	Jph4	NM_177049	NM_177049	Mus musculus junctophilin 4 (Jph4), mRNA. (from RefSeq NM_177049)	
ENSMUST00000161573.7	chr14	-	55587446	55588604	uc288unv.1	ENSMUST00000161573.7	D87910			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000162700.7	chr14	-	55587446	55589511	uc288unw.1	ENSMUST00000162700.7	D87910			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000161027.7	chr14	-	55588053	55590149	uc288unx.1	ENSMUST00000161027.7	U60329			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000159282.7	chr14	-	55588082	55590864	uc288unz.1	ENSMUST00000159282.7	U60329			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000159297.1	chr14	-	55589997	55590895	uc288uoc.1	ENSMUST00000159297.1	D87910			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000159845.7	chr14	-	55589316	55590948	uc288uob.1	ENSMUST00000159845.7	AK143556			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000162496.7	chr14	-	55589193	55590973	uc288uoa.1	ENSMUST00000162496.7	BC057859			Psme2			Psme2 (from geneSymbol)	
ENSMUST00000161807.7	chr14	-	55587440	55591087	uc007tzg.2	ENSMUST00000161807.7	NM_011190	Q5SVP3	Q5SVP3_MOUSE	Psme2	NM_011190	NM_011190	Mus musculus proteasome (prosome, macropain) activator subunit 2 (PA28 beta) (Psme2), transcript variant 1, mRNA. (from RefSeq NM_011190)	
ENSMUST00000111378.9	chr14	-	55587441	55591101	uc007tzh.2	ENSMUST00000111378.9	NM_001029855	G3X9V0	G3X9V0_MOUSE	Psme2	NM_001029855	NM_001029855	Mus musculus proteasome (prosome, macropain) activator subunit 2 (PA28 beta) (Psme2), transcript variant 2, mRNA. (from RefSeq NM_001029855)	
ENSMUST00000159687.1	chr14	-	55588071	55591113	uc288uny.1	ENSMUST00000159687.1	U60329	E0CZ90	E0CZ90_MOUSE	Psme2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E0CZ90)	
ENSMUST00000130167.7	chr14	-	55638300	55641060	uc288uph.1	ENSMUST00000130167.7	AF269152			Tm9sf1			Tm9sf1 (from geneSymbol)	
ENSMUST00000146588.1	chr14	-	55640443	55641599	uc288upi.1	ENSMUST00000146588.1	BC007187			Tm9sf1			Tm9sf1 (from geneSymbol)	
ENSMUST00000120041.7	chr14	-	55635964	55643251	uc288upc.1	ENSMUST00000120041.7	BC017617	Q9DBU0	TM9S1_MOUSE	Tm9sf1			Plays an essential role in autophagy (By similarity). (from UniProt Q9DBU0)	
ENSMUST00000121937.7	chr14	-	55635967	55643315	uc288upd.1	ENSMUST00000121937.7	BC017617	D3Z6X7	D3Z6X7_MOUSE	Tm9sf1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z6X7)	
ENSMUST00000133707.1	chr14	-	55642583	55643333	uc288upk.1	ENSMUST00000133707.1	AF269152	D3YYW1	D3YYW1_MOUSE	Tm9sf1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YYW1)	
ENSMUST00000002391.14	chr14	-	55636059	55643340	uc007tzs.2	ENSMUST00000002391.14	NM_001360063	Q9DBU0	TM9S1_MOUSE	Tm9sf1	NM_001360063	NM_001360063	Mus musculus transmembrane 9 superfamily member 1 (Tm9sf1), transcript variant 2, mRNA. (from RefSeq NM_001360063)	
ENSMUST00000121791.7	chr14	-	55636011	55643354	uc288upe.1	ENSMUST00000121791.7	BC017617	Q9DBU0	TM9S1_MOUSE	Tm9sf1			Plays an essential role in autophagy (By similarity). (from UniProt Q9DBU0)	
ENSMUST00000149726.7	chr14	-	55636015	55643361	uc288upf.1	ENSMUST00000149726.7	BC017617	D6RGM8	D6RGM8_MOUSE	Tm9sf1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D6RGM8)	
ENSMUST00000127473.1	chr14	-	55640095	55643371	uc007tzv.2	ENSMUST00000127473.1	AK160610			Tm9sf1			Tm9sf1 (from geneSymbol)	
ENSMUST00000132338.7	chr14	-	55637832	55643523	uc288upg.1	ENSMUST00000132338.7	AK152476	D3YWH4	D3YWH4_MOUSE	Tm9sf1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YWH4)	
ENSMUST00000139313.1	chr14	-	55640384	55643560	uc007tzw.2	ENSMUST00000139313.1	AK152476			Tm9sf1			Tm9sf1 (from geneSymbol)	
ENSMUST00000138085.1	chr14	-	55641417	55643771	uc288upj.1	ENSMUST00000138085.1	AK004754	D3Z279	D3Z279_MOUSE	Tm9sf1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3Z279)	
ENSMUST00000122358.7	chr14	-	55635964	55643806	uc007tzt.2	ENSMUST00000122358.7	NM_028780	Q9DBU0	TM9S1_MOUSE	Tm9sf1	NM_028780	NM_028780	Mus musculus transmembrane 9 superfamily member 1 (Tm9sf1), transcript variant 1, mRNA. (from RefSeq NM_028780)	
ENSMUST00000227250.1	chr14	-	55662263	55663861	uc288ups.1	ENSMUST00000227250.1	BC004625	A0A2I3BRG0		Nedd8			Nedd8 (from geneSymbol)	
ENSMUST00000227157.1	chr14	-	55662402	55664296	uc288upv.1	ENSMUST00000227157.1	AK147080			Nedd8			Nedd8 (from geneSymbol)	
ENSMUST00000163750.7	chr14	-	55662264	55671873	uc288upt.1	ENSMUST00000163750.7	NM_008683	Q3UI46	Q3UI46_MOUSE	Nedd8	NM_008683	NM_008683	Mus musculus neural precursor cell expressed, developmentally down-regulated gene 8 (Nedd8), mRNA. (from RefSeq NM_008683)	
ENSMUST00000228414.1	chr14	-	55662385	55671877	uc288upu.1	ENSMUST00000228414.1	AK147080			Nedd8			Nedd8 (from geneSymbol)	
ENSMUST00000010520.9	chr14	-	55662262	55672124	uc007uac.2	ENSMUST00000010520.9	AK146732	Q3UI46	Q3UI46_MOUSE	Nedd8			Nedd8 (from geneSymbol)	
ENSMUST00000168524.7	chr14	-	56748534	56761867	uc288uua.1	ENSMUST00000168524.7	AK169737			Pspc1			Pspc1 (from geneSymbol)	
ENSMUST00000168575.1	chr14	-	56748857	56777927	uc288uub.1	ENSMUST00000168575.1	AK011272	F7D909	F7D909_MOUSE	Pspc1			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F7D909)	
ENSMUST00000022507.12	chr14	-	56720709	56778316	uc007ucj.2	ENSMUST00000022507.12	NM_025682	Q8R326	PSPC1_MOUSE	Pspc1	NM_025682	NM_025682	Mus musculus paraspeckle protein 1 (Pspc1), transcript variant 1, mRNA. (from RefSeq NM_025682)	
ENSMUST00000163924.1	chr14	-	56723985	56778316	uc007uck.1	ENSMUST00000163924.1	AK160722	Q8R326	PSPC1_MOUSE	Pspc1			Together with NONO, required for the formation of  nuclear paraspeckles. Regulates, cooperatively with NONO and SFPQ,  androgen receptor-mediated gene transcription activity in Sertoli  cell line. Binds to poly(A), poly(G) and poly(U) RNA homopolymers. (from UniProt Q8R326)	
ENSMUST00000224544.1	chr14	-	57123303	57125221	uc011zmf.3	ENSMUST00000224544.1	BC063762			Gjb6			Gjb6 (from geneSymbol)	
ENSMUST00000162931.1	chr14	-	57130836	57132059	uc288uur.1	ENSMUST00000162931.1	BC013811			Gjb6			Gjb6 (from geneSymbol)	
ENSMUST00000160703.1	chr14	-	57124281	57133281	uc288uuq.1	ENSMUST00000160703.1	BC016507	E0CX48	E0CX48_MOUSE	Gjb6			One gap junction consists of a cluster of closely packed  pairs of transmembrane channels, the connexons, through which  materials of low MW diffuse from one cell to a neighboring cell  (By similarity). (from UniProt E0CX48)	
ENSMUST00000039380.8	chr14	-	57123302	57133611	uc007ucy.3	ENSMUST00000039380.8	NM_001271663	Q3URC5	Q3URC5_MOUSE	Gjb6	NM_001271663	NM_001271663	Mus musculus gap junction protein, beta 6 (Gjb6), transcript variant 3, mRNA. (from RefSeq NM_001271663)	
ENSMUST00000224155.1	chr14	+	59627188	59629677	uc288uyg.1	ENSMUST00000224155.1	DQ342342			Shisa2			Shisa2 (from geneSymbol)	
ENSMUST00000053949.6	chr14	+	59625307	59631660	uc007uer.3	ENSMUST00000053949.6	NM_145463	Q8QZV2	SHSA2_MOUSE	Shisa2	NM_145463	NM_145463	Mus musculus shisa family member 2 (Shisa2), mRNA. (from RefSeq NM_145463)	
ENSMUST00000225043.1	chr14	+	60784624	60799117	uc288uzq.1	ENSMUST00000225043.1	AK049000	A0A286YCX4		Mipep			Mipep (from geneSymbol)	
ENSMUST00000223709.1	chr14	+	60784637	60864738	uc288uzr.1	ENSMUST00000223709.1	AK076613			Mipep			Mipep (from geneSymbol)	
ENSMUST00000063562.8	chr14	+	60784572	60904229	uc288uzn.1	ENSMUST00000063562.8	NM_027436	A6H611	MIPEP_MOUSE	Mipep	NM_027436	NM_027436	Mus musculus mitochondrial intermediate peptidase (Mipep), transcript variant 1, mRNA. (from RefSeq NM_027436)	
ENSMUST00000224635.1	chr14	+	60784584	60905360	uc288uzp.1	ENSMUST00000224635.1	NR_040642	A6H611	MIPEP_MOUSE	Mipep	NR_040642	NR_040642	Mus musculus mitochondrial intermediate peptidase (Mipep), transcript variant 2, non-coding RNA. (from RefSeq NR_040642)	
ENSMUST00000225506.1	chr14	+	60784581	60905478	uc288uzo.1	ENSMUST00000225506.1	AK044460	A0A286YDC5		Mipep			Mipep (from geneSymbol)	
ENSMUST00000225501.1	chr14	-	60966350	60975885	uc288uzs.1	ENSMUST00000225501.1	AK050262			Tnfrsf19			Tnfrsf19 (from geneSymbol)	
ENSMUST00000225730.1	chr14	-	60974521	61037891	uc007ufl.3	ENSMUST00000225730.1	AB040433	Q9JLL3	TNR19_MOUSE	Tnfrsf19			Can mediate activation of c-Jun and NF-kappa-B. May  promote caspase-independent cell death (By similarity). Isoform 2  and isoform 3 may act as decoy receptors. (from UniProt Q9JLL3)	
ENSMUST00000111236.3	chr14	-	60963874	61037950	uc007ufi.3	ENSMUST00000111236.3	NM_001164155	Q9JLL3	TNR19_MOUSE	Tnfrsf19	NM_001164155	NM_001164155	Mus musculus tumor necrosis factor receptor superfamily, member 19 (Tnfrsf19), transcript variant 2, mRNA. (from RefSeq NM_001164155)	
ENSMUST00000111234.9	chr14	-	60964035	61046469	uc007ufj.3	ENSMUST00000111234.9	NM_013869	Q9JLL3	TNR19_MOUSE	Tnfrsf19	NM_013869	NM_013869	Mus musculus tumor necrosis factor receptor superfamily, member 19 (Tnfrsf19), transcript variant 1, mRNA. (from RefSeq NM_013869)	
ENSMUST00000224371.1	chr14	-	60974360	61046490	uc007ufm.3	ENSMUST00000224371.1	BC030062	Q9JLL3	TNR19_MOUSE	Tnfrsf19			Can mediate activation of c-Jun and NF-kappa-B. May  promote caspase-independent cell death (By similarity). Isoform 2  and isoform 3 may act as decoy receptors. (from UniProt Q9JLL3)	
ENSMUST00000238526.1	chr14	-	63145149	63164925	uc294iyv.1	ENSMUST00000238526.1	BC054722			Fdft1			Fdft1 (from geneSymbol)	
ENSMUST00000224267.2	chr14	-	63159273	63164925	uc288vcv.2	ENSMUST00000224267.2	AK168629			Fdft1			Fdft1 (from geneSymbol)	
ENSMUST00000054963.9	chr14	-	63145152	63177793	uc288vct.1	ENSMUST00000054963.9	BC054722	P53798	FDFT_MOUSE	Fdft1			Critical branch point enzyme of isoprenoid biosynthesis  that is thought to regulate the flux of isoprene intermediates  through the sterol pathway. (from UniProt P53798)	
ENSMUST00000223810.1	chr14	-	63156590	63177797	uc288vcu.1	ENSMUST00000223810.1	D29016	A0A286YD20		Fdft1			Fdft1 (from geneSymbol)	
ENSMUST00000224625.1	chr14	-	63145149	63179578	uc007uhj.4	ENSMUST00000224625.1	NM_010191	P53798	FDFT_MOUSE	Fdft1	NM_010191	NM_010191	Mus musculus farnesyl diphosphate farnesyl transferase 1 (Fdft1), transcript variant 2, mRNA. (from RefSeq NM_010191)	
ENSMUST00000111089.7	chr14	-	68082589	68124846	uc288vio.1	ENSMUST00000111089.7	AK042598	D3YZ35	D3YZ35_MOUSE	Nefm			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt D3YZ35)	
ENSMUST00000022638.5	chr14	-	68119282	68124846	uc007ulo.2	ENSMUST00000022638.5	NM_008691	A0A0R4J036		Nefm	NM_008691	NM_008691	Mus musculus neurofilament, medium polypeptide (Nefm), mRNA. (from RefSeq NM_008691)	
ENSMUST00000227697.1	chr14	+	70890527	70978496	uc007upb.3	ENSMUST00000227697.1	NM_001302095	O08842	GFRA2_MOUSE	Gfra2	NM_001302095	NM_001302095	Mus musculus glial cell line derived neurotrophic factor family receptor alpha 2 (Gfra2), transcript variant 3, mRNA. (from RefSeq NM_001302095)	
ENSMUST00000227633.1	chr14	+	70941885	70979823	uc007upc.2	ENSMUST00000227633.1	AK149349	A0A2I3BQ61		Gfra2			Gfra2 (from geneSymbol)	
ENSMUST00000022699.9	chr14	+	70890119	70979838	uc007uoz.3	ENSMUST00000022699.9	NM_008115	O08842	GFRA2_MOUSE	Gfra2	NM_008115	NM_008115	Mus musculus glial cell line derived neurotrophic factor family receptor alpha 2 (Gfra2), transcript variant 1, mRNA. (from RefSeq NM_008115)	
ENSMUST00000165334.1	chr14	+	73143016	73154791	uc288vpk.1	ENSMUST00000165334.1	AK030893			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000165646.7	chr14	+	73143109	73155165	uc288vpm.1	ENSMUST00000165646.7	AK013119			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000163546.7	chr14	+	73142706	73155211	uc288vpg.1	ENSMUST00000163546.7	AK013119			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000163650.7	chr14	+	73138767	73155212	uc288vpc.1	ENSMUST00000163650.7	AK013119			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000167021.7	chr14	+	73143399	73161969	uc288vpq.1	ENSMUST00000167021.7	JN086339	E9Q213	E9Q213_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q213)	
ENSMUST00000163339.7	chr14	+	73123036	73161986	uc288vpb.1	ENSMUST00000163339.7	AK147784			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000171070.7	chr14	+	73138767	73162337	uc288vpd.1	ENSMUST00000171070.7	JN086338	E9PY30	E9PY30_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9PY30)	
ENSMUST00000170368.7	chr14	+	73142722	73162388	uc288vph.1	ENSMUST00000170368.7	JN086338	E9PZR2	E9PZR2_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9PZR2)	
ENSMUST00000171163.1	chr14	+	73143008	73164084	uc288vpj.1	ENSMUST00000171163.1	AK030893			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000170370.7	chr14	+	73142535	73164719	uc288vpe.1	ENSMUST00000170370.7	AK031248	E9QAL7	E9QAL7_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9QAL7)	
ENSMUST00000163533.7	chr14	+	73142991	73164783	uc288vpi.1	ENSMUST00000163533.7	AK013540	E9QA48	E9QA48_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9QA48)	
ENSMUST00000165567.7	chr14	+	73143156	73164850	uc288vpo.1	ENSMUST00000165567.7	AK013540	E9Q7J4	E9Q7J4_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q7J4)	
ENSMUST00000165429.7	chr14	+	73142557	73166507	uc288vpf.1	ENSMUST00000165429.7	AK147784	E9Q3W8	E9Q3W8_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q3W8)	
ENSMUST00000165727.7	chr14	+	73143109	73166840	uc288vpn.1	ENSMUST00000165727.7	AK013540	E9QA84	E9QA84_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9QA84)	
ENSMUST00000166875.1	chr14	+	73173883	73182518	uc288vpv.1	ENSMUST00000166875.1	AK210358	F6QHR6	F6QHR6_MOUSE	Rcbtb2			Contains 1 BTB (POZ) domain. (from UniProt F6QHR6)	
ENSMUST00000164298.7	chr14	+	73161939	73182599	uc288vps.1	ENSMUST00000164298.7	BC003224	F6ZTZ2	F6ZTZ2_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6ZTZ2)	
ENSMUST00000163797.1	chr14	+	73161939	73182602	uc288vpt.1	ENSMUST00000163797.1	BC003224	F6X7I4	F6X7I4_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt F6X7I4)	
ENSMUST00000110952.9	chr14	+	73143592	73182682	uc029slv.3	ENSMUST00000110952.9	JN086339	Q99LJ7	RCBT2_MOUSE	Rcbtb2			  Event=Alternative splicing; Named isoforms=2;  Name=1;    IsoId=Q99LJ7-1; Sequence=Displayed;  Name=2;    IsoId=Q99LJ7-2; Sequence=VSP_016724;    Note=No experimental confirmation available; (from UniProt Q99LJ7)	
ENSMUST00000170278.1	chr14	+	73174450	73182682	uc288vpw.1	ENSMUST00000170278.1	AK160212			Rcbtb2			Rcbtb2 (from geneSymbol)	
ENSMUST00000167401.7	chr14	+	73143075	73183162	uc288vpl.1	ENSMUST00000167401.7	AK160881	E9Q5U1	E9Q5U1_MOUSE	Rcbtb2			The sequence shown here is derived from an Ensembl  automatic analysis pipeline and should be considered as  preliminary data. (from UniProt E9Q5U1)	
ENSMUST00000022702.12	chr14	+	73143161	73183693	uc288vpp.1	ENSMUST00000022702.12	AK147784	Q99LJ7	RCBT2_MOUSE	Rcbtb2			  Event=Alternative splicing; Named isoforms=2;  Name=1;    IsoId=Q99LJ7-1; Sequence=Displayed;  Name=2;    IsoId=Q99LJ7-2; Sequence=VSP_016724;    Note=No experimental confirmation available; (from UniProt Q99LJ7)	
ENSMUST00000170677.7	chr14	+	73143061	73184047	uc011zoj.3	ENSMUST00000170677.7	AK160881	Q99LJ7	RCBT2_MOUSE	Rcbtb2			  Event=Alternative splicing; Named isoforms=2;  Name=1;    IsoId=Q99LJ7-1; Sequence=Displayed;  Name=2;    IsoId=Q99LJ7-2; Sequence=VSP_016724;    Note=No experimental confirmation available; (from UniProt Q99LJ7)	
ENSMUST00000169479.7	chr14	+	73151484	73184047	uc288vpr.1	ENSMUST00000169479.7	AK147784	Q99LJ7	RCBT2_MOUSE	Rcbtb2			  Event=Alternative splicing; Named isoforms=2;  Name=1;    IsoId=Q99LJ7-1; Sequence=Displayed;  Name=2;    IsoId=Q99LJ7-2; Sequence=VSP_016724;    Note=No experimental confirmation available; (from UniProt Q99LJ7)	
